id_client,age,sexe,anciennete_mois,type_forfait,qualite_reseau,service_client,rapport_qualite_prix,couverture_reseau,satisfaction_globale,score_nps,intention_depart
1,61,Femme,50,Postpayé Premium,3,3.0,2,3,3,7,1
2,62,Femme,14,Prépayé Plus,5,4.0,4,4,5,9,0
3,55,Homme,14,Prépayé Plus,3,3.0,2,2,3,7,0
4,58,Homme,3,Postpayé Standard,4,5.0,5,4,4,9,0
5,28,Femme,20,Postpayé Standard,4,4.0,5,3,4,6,0
6,42,Femme,78,Postpayé Premium,2,2.0,2,2,2,2,1
7,64,Homme,9,Prépayé Basic,4,2.0,4,3,3,5,1
8,27,Femme,48,Prépayé Plus,2,3.0,2,2,3,6,0
9,29,Homme,48,Prépayé Basic,3,4.0,4,4,4,6,0
10,21,Femme,50,Prépayé Basic,3,4.0,3,4,3,5,0
11,33,Femme,65,Prépayé Plus,2,2.0,3,1,2,3,1
12,62,Femme,91,Prépayé Plus,5,5.0,5,4,5,8,0
13,19,Homme,25,Prépayé Plus,4,4.0,3,3,4,9,0
14,63,Femme,16,Postpayé Standard,4,4.0,4,3,4,10,0
15,18,Homme,54,Prépayé Basic,2,2.0,2,2,2,4,1
16,23,Femme,56,Postpayé Premium,5,5.0,5,4,5,8,0
17,29,Homme,25,Prépayé Basic,4,3.0,3,3,4,6,0
18,46,Homme,57,Prépayé Basic,4,3.0,3,5,4,8,0
19,37,Homme,82,Prépayé Basic,5,5.0,3,5,4,10,0
20,37,Homme,57,Prépayé Basic,4,3.0,3,4,3,6,1
21,19,Femme,41,Postpayé Standard,3,4.0,3,4,3,5,0
22,20,Femme,71,Prépayé Basic,3,2.0,2,3,3,4,0
23,31,Homme,30,Prépayé Plus,4,4.0,3,3,4,7,0
24,39,Femme,4,Prépayé Basic,2,2.0,3,2,2,2,1
25,22,Homme,34,Prépayé Plus,4,5.0,4,4,5,9,0
26,18,Femme,49,Postpayé Standard,2,2.0,3,2,3,6,0
27,18,Femme,28,Postpayé Standard,5,3.0,5,3,4,9,0
28,18,Femme,6,Prépayé Basic,5,4.0,4,5,4,6,0
29,20,Femme,23,Prépayé Plus,3,2.0,2,2,2,3,1
30,22,Femme,36,Prépayé Basic,3,4.0,3,2,3,5,0
31,41,Homme,59,Prépayé Plus,4,4.0,3,3,3,5,0
32,22,Femme,67,Prépayé Basic,4,2.0,3,4,3,4,0
33,55,Femme,66,Prépayé Plus,3,3.0,3,2,3,6,0
34,42,Homme,69,Prépayé Plus,4,5.0,3,3,4,8,0
35,43,Homme,37,Prépayé Basic,3,4.0,3,3,4,8,0
36,38,Femme,62,Postpayé Standard,4,4.0,5,4,5,10,0
37,19,Homme,21,Postpayé Premium,4,2.0,3,2,3,6,1
38,32,Homme,48,Prépayé Basic,5,5.0,5,5,5,10,0
39,18,Femme,13,Postpayé Premium,5,4.0,3,4,4,7,0
40,39,Homme,29,Postpayé Standard,4,4.0,5,3,4,7,0
41,28,Femme,6,Postpayé Standard,4,4.0,5,5,5,8,0
42,24,Homme,69,Prépayé Basic,2,4.0,4,4,4,6,0
43,34,Homme,87,Postpayé Standard,2,3.0,4,5,4,7,0
44,51,Femme,26,Prépayé Plus,3,3.0,1,2,2,4,1
45,31,Homme,78,Prépayé Basic,4,5.0,4,5,5,10,0
46,34,Femme,5,Prépayé Basic,3,4.0,3,3,3,5,0
47,37,Femme,29,Postpayé Standard,3,4.0,1,2,2,3,1
48,48,Femme,13,Postpayé Standard,4,4.0,4,3,4,7,0
49,60,Femme,27,Prépayé Basic,4,5.0,3,4,4,7,0
50,29,Homme,78,Prépayé Plus,2,3.0,3,3,3,7,1
51,20,Homme,75,Postpayé Premium,5,5.0,5,5,5,7,0
52,62,Homme,31,Prépayé Plus,3,2.0,2,3,2,3,1
53,32,Homme,94,Prépayé Plus,4,4.0,4,5,4,8,0
54,58,Femme,29,Postpayé Standard,2,3.0,2,3,2,2,1
55,50,Femme,85,Prépayé Basic,5,5.0,5,5,5,10,0
56,29,Femme,75,Prépayé Basic,5,4.0,4,4,4,10,0
57,18,Homme,5,Postpayé Standard,4,5.0,5,4,4,7,0
58,56,Femme,30,Postpayé Standard,4,4.0,4,5,4,6,0
59,36,Homme,85,Postpayé Standard,3,2.0,3,1,2,3,1
60,20,Femme,69,Postpayé Standard,4,3.0,2,3,3,5,0
61,19,Homme,88,Prépayé Plus,3,3.0,4,3,3,4,1
62,31,Homme,9,Prépayé Plus,4,4.0,2,3,3,3,0
63,44,Femme,27,Prépayé Basic,3,3.0,2,3,3,3,0
64,41,Homme,77,Postpayé Standard,2,2.0,3,2,2,3,1
65,36,Femme,47,Prépayé Basic,3,3.0,3,4,3,6,0
66,56,Femme,37,Postpayé Standard,3,2.0,3,3,3,4,0
67,41,Homme,92,Prépayé Plus,2,4.0,3,3,3,6,0
68,52,Homme,91,Prépayé Plus,5,5.0,5,4,5,8,0
69,63,Femme,4,Postpayé Standard,3,4.0,3,4,4,8,0
70,51,Homme,10,Postpayé Premium,4,5.0,5,5,4,8,0
71,64,Femme,81,Postpayé Premium,3,2.0,2,4,3,5,1
72,52,Homme,11,Prépayé Basic,4,3.0,4,3,4,7,0
73,21,Femme,25,Prépayé Basic,3,5.0,3,4,4,7,0
74,47,Homme,58,Postpayé Premium,3,3.0,5,4,4,7,0
75,31,Homme,26,Prépayé Plus,4,3.0,4,4,4,7,0
76,42,Femme,43,Postpayé Standard,2,3.0,2,2,2,2,1
77,48,Femme,26,Prépayé Plus,3,3.0,3,3,4,5,0
78,29,Homme,74,Postpayé Standard,4,3.0,4,4,4,5,0
79,33,Homme,87,Prépayé Basic,3,3.0,4,4,3,6,1
80,52,Homme,76,Postpayé Standard,3,5.0,2,2,3,4,0
81,23,Homme,76,Prépayé Basic,3,3.0,4,2,3,5,1
82,29,Homme,47,Postpayé Standard,3,4.0,3,3,4,6,0
83,39,Femme,95,Prépayé Basic,3,4.0,4,5,4,7,0
84,61,Femme,75,Postpayé Standard,4,4.0,5,5,5,9,0
85,42,Femme,83,Postpayé Standard,4,2.0,3,4,3,4,0
86,23,Homme,25,Prépayé Plus,3,3.0,4,4,3,3,1
87,58,Femme,68,Postpayé Premium,3,4.0,4,5,4,7,0
88,55,Homme,66,Prépayé Basic,4,5.0,4,3,4,8,0
89,30,Femme,65,Postpayé Standard,3,5.0,3,4,4,8,0
90,40,Femme,55,Prépayé Plus,5,4.0,5,5,5,10,0
91,22,Homme,34,Postpayé Standard,3,3.0,4,2,3,6,0
92,26,Homme,21,Postpayé Premium,4,,2,4,4,8,0
93,52,Homme,40,Prépayé Plus,2,2.0,3,2,2,2,1
94,32,Femme,1,Prépayé Plus,4,4.0,4,5,5,9,0
95,64,Homme,93,Prépayé Basic,3,3.0,2,1,2,4,1
96,39,Homme,24,Prépayé Basic,3,1.0,3,4,3,3,0
97,53,Femme,14,Prépayé Basic,5,3.0,3,3,4,6,0
98,55,Femme,81,Prépayé Plus,3,4.0,2,2,3,5,0
99,62,Homme,94,Prépayé Basic,2,1.0,3,3,3,4,1
100,50,Femme,81,Postpayé Standard,3,2.0,1,2,2,3,1
101,36,Homme,92,Postpayé Premium,3,3.0,3,2,3,5,0
102,26,Femme,92,Postpayé Standard,4,4.0,5,5,4,6,0
103,64,Homme,73,Postpayé Standard,5,3.0,4,3,4,9,0
104,19,Femme,13,Postpayé Standard,4,4.0,5,4,5,9,0
105,48,Femme,26,Prépayé Basic,3,3.0,4,3,4,7,0
106,20,Homme,38,Postpayé Premium,5,3.0,4,4,4,8,0
107,24,Femme,71,Postpayé Premium,3,4.0,5,4,4,8,0
108,50,Femme,50,Prépayé Plus,3,4.0,3,4,4,10,0
109,50,Homme,80,Postpayé Standard,5,5.0,5,4,5,10,0
110,25,Femme,36,Prépayé Plus,4,5.0,4,3,4,7,0
111,22,Femme,13,Postpayé Premium,4,4.0,3,4,4,6,0
112,36,Homme,37,Prépayé Basic,4,2.0,3,3,3,6,0
113,39,Femme,37,Prépayé Plus,5,4.0,5,3,5,9,0
114,22,Homme,1,Prépayé Plus,3,5.0,4,5,4,8,0
115,35,Femme,77,Postpayé Standard,3,5.0,5,5,4,8,0
116,57,Femme,80,Prépayé Plus,5,2.0,4,4,3,4,0
117,54,Femme,57,Prépayé Basic,4,4.0,4,4,4,9,0
118,30,Homme,95,Postpayé Premium,2,4.0,4,1,3,6,0
119,41,Homme,23,Postpayé Premium,3,3.0,3,4,3,6,0
120,35,Femme,3,Postpayé Standard,4,3.0,4,4,4,9,0
121,44,Femme,37,Prépayé Basic,3,3.0,3,2,3,5,0
122,27,Homme,26,Prépayé Plus,4,3.0,4,4,3,7,0
123,48,Homme,94,Prépayé Basic,2,2.0,4,3,2,4,1
124,22,Homme,77,Postpayé Standard,4,5.0,5,5,5,9,0
125,54,Homme,75,Postpayé Standard,2,4.0,3,2,3,5,0
126,42,Homme,78,Postpayé Standard,3,4.0,4,3,3,4,0
127,27,Femme,36,Prépayé Plus,2,3.0,4,2,2,1,1
128,31,Homme,17,Prépayé Plus,3,2.0,2,3,2,3,1
129,42,Homme,81,Prépayé Plus,3,4.0,4,4,4,9,0
130,33,Homme,8,Postpayé Standard,2,2.0,2,2,2,3,1
131,55,Femme,33,Prépayé Basic,5,5.0,3,4,4,7,0
132,36,Femme,34,Prépayé Basic,3,3.0,3,5,3,5,0
133,30,Homme,86,Postpayé Standard,3,4.0,3,4,4,7,0
134,49,Homme,36,Postpayé Premium,5,4.0,5,5,5,8,0
135,62,Homme,28,Prépayé Basic,3,3.0,4,4,3,4,1
136,31,Femme,60,Postpayé Standard,4,,5,2,4,8,0
137,48,Homme,66,Prépayé Plus,3,2.0,2,2,2,4,1
138,45,Homme,28,Prépayé Plus,3,4.0,4,4,3,5,0
139,44,Femme,65,Postpayé Premium,2,2.0,4,2,3,5,0
140,35,Homme,52,Prépayé Plus,5,5.0,5,5,5,10,0
141,64,Homme,12,Prépayé Plus,4,4.0,4,5,4,7,0
142,44,Homme,53,Prépayé Basic,2,4.0,4,4,3,5,0
143,30,Homme,56,Postpayé Premium,2,2.0,3,2,2,5,1
144,18,Femme,78,Prépayé Plus,4,3.0,2,2,3,4,1
145,33,Femme,91,Postpayé Premium,2,3.0,2,3,2,4,1
146,38,Femme,86,Postpayé Standard,3,2.0,2,3,3,5,0
147,55,Homme,34,Prépayé Plus,4,3.0,2,3,3,6,0
148,29,Femme,13,Prépayé Plus,4,4.0,4,3,4,8,0
149,63,Homme,39,Prépayé Basic,5,3.0,4,4,4,8,0
150,32,Femme,14,Prépayé Basic,4,3.0,4,4,4,9,0
151,28,Homme,56,Prépayé Basic,5,5.0,5,5,5,8,0
152,25,Homme,94,Postpayé Premium,3,3.0,2,3,3,4,1
153,55,Femme,33,Prépayé Plus,2,3.0,2,3,3,7,1
154,31,Femme,94,Prépayé Basic,2,3.0,2,3,3,6,0
155,53,Homme,82,Postpayé Premium,3,3.0,3,3,3,7,0
156,35,Femme,60,Prépayé Basic,4,4.0,5,4,4,6,0
157,21,Femme,90,Prépayé Plus,2,2.0,2,2,2,3,1
158,33,Femme,94,Postpayé Standard,3,3.0,3,2,3,6,1
159,33,Femme,5,Prépayé Basic,5,4.0,5,5,5,10,0
160,33,Homme,62,Postpayé Standard,5,3.0,3,5,5,9,0
161,22,Femme,94,Prépayé Plus,3,4.0,2,4,3,5,0
162,26,Homme,94,Prépayé Basic,5,4.0,4,5,5,10,0
163,44,Femme,91,Postpayé Standard,3,,4,3,4,6,0
164,36,Homme,29,Prépayé Plus,3,4.0,4,4,4,7,0
165,28,Homme,69,Prépayé Basic,3,3.0,4,4,4,7,0
166,56,Femme,35,Prépayé Basic,4,4.0,2,2,3,4,1
167,42,Homme,12,Prépayé Basic,2,3.0,2,3,2,1,1
168,40,Femme,53,Prépayé Basic,5,5.0,5,5,5,10,0
169,30,Homme,56,Postpayé Premium,1,2.0,1,1,1,1,1
170,20,Homme,65,Postpayé Standard,4,4.0,4,4,4,6,0
171,45,Homme,75,Prépayé Plus,4,4.0,3,3,4,7,0
172,41,Femme,19,Prépayé Basic,2,2.0,2,3,2,3,1
173,54,Femme,23,Prépayé Basic,5,3.0,4,4,4,6,0
174,21,Homme,67,Prépayé Basic,1,1.0,2,1,2,4,1
175,22,Femme,1,Postpayé Premium,2,3.0,3,3,2,4,1
176,19,Homme,44,Prépayé Basic,2,3.0,3,3,4,7,0
177,62,Femme,70,Postpayé Premium,5,4.0,5,5,5,10,0
178,46,Femme,11,Postpayé Standard,4,3.0,4,4,4,8,0
179,39,Homme,74,Prépayé Basic,4,4.0,4,3,4,7,0
180,38,Femme,68,Prépayé Plus,3,2.0,2,2,2,5,1
181,44,Homme,59,Prépayé Plus,3,2.0,4,3,3,5,0
182,48,Homme,20,Postpayé Standard,4,1.0,3,4,3,6,0
183,46,Homme,85,Postpayé Standard,3,4.0,3,3,3,5,0
184,38,Homme,50,Prépayé Basic,2,2.0,1,3,2,3,1
185,43,Homme,11,Prépayé Plus,4,5.0,5,4,4,8,0
186,58,Femme,33,Postpayé Premium,5,5.0,5,5,4,7,0
187,58,Femme,52,Prépayé Basic,4,2.0,3,2,3,6,0
188,44,Femme,43,Postpayé Premium,3,5.0,5,4,4,5,0
189,53,Femme,51,Prépayé Basic,5,4.0,4,4,4,5,0
190,38,Homme,87,Postpayé Standard,2,2.0,1,1,1,1,1
191,42,Femme,18,Prépayé Plus,5,,5,4,4,7,0
192,29,Femme,75,Prépayé Basic,4,5.0,5,4,5,9,0
193,31,Femme,92,Prépayé Plus,5,4.0,5,4,4,8,0
194,25,Homme,1,Prépayé Basic,2,2.0,2,2,3,5,1
195,53,Femme,42,Prépayé Basic,5,5.0,5,4,5,9,0
196,62,Femme,81,Prépayé Basic,4,4.0,3,3,3,6,0
197,19,Homme,35,Postpayé Standard,5,5.0,4,5,5,10,0
198,60,Homme,54,Prépayé Plus,2,2.0,2,2,2,3,1
199,33,Homme,3,Postpayé Premium,4,5.0,4,4,4,8,0
200,44,Homme,37,Prépayé Plus,4,5.0,3,4,4,8,0
201,54,Femme,53,Prépayé Basic,4,3.0,5,4,4,8,0
202,21,Homme,41,Prépayé Plus,4,,3,5,4,6,0
203,22,Homme,49,Prépayé Plus,4,2.0,3,3,2,3,1
204,31,Femme,62,Prépayé Basic,3,3.0,3,3,2,5,1
205,20,Femme,3,Postpayé Premium,5,5.0,5,4,5,7,0
206,64,Homme,79,Postpayé Premium,5,4.0,4,5,4,7,0
207,34,Homme,59,Prépayé Basic,4,3.0,4,3,4,7,0
208,35,Homme,10,Prépayé Basic,3,2.0,4,3,3,4,0
209,51,Femme,18,Prépayé Plus,5,3.0,3,5,4,9,0
210,50,Homme,36,Prépayé Basic,3,4.0,3,3,3,6,0
211,32,Homme,2,Postpayé Premium,2,1.0,2,2,2,4,1
212,27,Femme,84,Prépayé Basic,2,4.0,3,3,3,4,0
213,27,Homme,77,Prépayé Basic,5,4.0,5,5,5,9,0
214,34,Femme,78,Prépayé Plus,2,3.0,4,2,3,5,0
215,27,Homme,71,Prépayé Plus,4,4.0,4,5,4,6,0
216,41,Homme,39,Prépayé Plus,2,2.0,2,2,2,5,1
217,47,Homme,83,Postpayé Standard,4,3.0,5,5,4,7,0
218,29,Homme,86,Postpayé Premium,4,5.0,5,5,5,7,0
219,25,Femme,91,Postpayé Standard,3,2.0,4,3,3,6,0
220,61,Homme,38,Prépayé Basic,3,4.0,4,3,4,7,0
221,22,Femme,37,Postpayé Premium,3,3.0,2,3,3,6,0
222,58,Homme,2,Postpayé Standard,3,3.0,1,3,2,4,1
223,20,Femme,24,Prépayé Basic,2,2.0,3,1,1,3,1
224,54,Femme,36,Postpayé Standard,4,3.0,3,4,4,8,0
225,48,Femme,68,Prépayé Plus,4,4.0,4,4,3,7,0
226,25,Homme,80,Prépayé Basic,4,4.0,5,5,4,7,0
227,63,Femme,7,Prépayé Basic,2,2.0,2,3,2,3,1
228,31,Femme,40,Postpayé Premium,3,3.0,3,2,3,5,1
229,51,Homme,51,Postpayé Standard,3,1.0,4,3,3,4,1
230,64,Homme,61,Postpayé Standard,3,3.0,3,3,2,3,1
231,27,Homme,53,Postpayé Premium,4,4.0,5,4,4,6,0
232,34,Femme,47,Prépayé Basic,4,2.0,4,4,3,6,0
233,57,Femme,11,Postpayé Standard,4,5.0,5,4,4,7,0
234,51,Femme,88,Prépayé Plus,3,2.0,2,2,3,4,1
235,25,Homme,21,Postpayé Premium,3,3.0,3,3,3,6,0
236,38,Homme,49,Prépayé Basic,3,3.0,4,4,3,5,0
237,33,Femme,95,Postpayé Standard,5,3.0,4,4,4,7,0
238,41,Femme,33,Postpayé Standard,5,5.0,5,5,5,9,0
239,36,Homme,89,Postpayé Premium,5,5.0,5,5,5,8,0
240,53,Homme,77,Postpayé Premium,4,4.0,4,4,4,4,0
241,59,Homme,90,Prépayé Basic,3,3.0,4,5,4,9,0
242,50,Femme,22,Postpayé Standard,3,4.0,4,3,3,6,0
243,22,Homme,10,Postpayé Standard,3,2.0,2,3,2,3,1
244,19,Homme,91,Prépayé Basic,5,4.0,4,4,5,7,0
245,51,Homme,10,Prépayé Basic,4,5.0,4,4,4,8,0
246,35,Femme,53,Prépayé Basic,3,3.0,2,3,2,5,1
247,58,Homme,30,Postpayé Standard,5,5.0,4,5,5,10,0
248,35,Homme,56,Prépayé Basic,4,2.0,3,4,4,8,0
249,53,Femme,8,Prépayé Basic,4,4.0,3,3,4,6,0
250,20,Femme,34,Prépayé Basic,5,5.0,5,5,5,7,0
251,38,Homme,40,Prépayé Plus,4,5.0,4,4,4,8,0
252,39,Femme,82,Prépayé Basic,4,4.0,5,4,4,6,0
253,31,Homme,74,Postpayé Standard,5,5.0,5,4,5,9,0
254,25,Femme,71,Postpayé Premium,2,3.0,2,3,3,6,0
255,31,Homme,23,Prépayé Basic,4,5.0,3,4,4,5,0
256,26,Femme,84,Prépayé Basic,5,5.0,5,5,5,9,0
